time,longitude,latitude,altitude_2,speed_2,time_2,music_2,conversation_2
1446062685,-86.7819026,36.163616,158,0,1340,0,
1446062690,-86.7819026,36.163616,158,0,1345,0,
1446062695,-86.7819026,36.163616,158,0,1350,0,
1446062700,-86.7819026,36.163616,158,0,1355,0,
1446062705,-86.7819026,36.163616,158,0,1360,0,
1446062710,-86.7819026,36.163616,158,0,1365,0,
1446062715,-86.7819026,36.163616,158,0,1370,0,
1446062720,-86.7819026,36.163616,159,0,1375,1,
1446062725,-86.7819026,36.163616,159,0,1380,1,J: was it cool that she was able to take the perspective of.. the owner like not understand that he had his reasons to like and wasn't necessarily a cruel person.. he just worked hard and wanted/A: * either way/H: guess 221 that might have been where is that looks close/H: here's an actual picture of the sit in movement/J: wait who are they dumping food on?/A: do we want to go there?/H: yea if we can let's see if we can get there it's down there.. looks like/J: what?/H: how how'd they even get over there?/J: we need to go down right/A: yea
1446062730,-86.7819026,36.163616,158,0,1385,1,
1446062735,-86.7819026,36.163616,158,0,1390,1,
1446062740,-86.7819026,36.163616,157,0,1395,1,
1446062745,-86.7819026,36.163616,158,0,1400,1,
1446062750,-86.7819026,36.163616,158,0,1405,1,
1446062755,-86.7819026,36.163616,157,0,1410,1,
1446062760,-86.781857,36.1636255,157,0.4,1415,1,
1446062765,-86.7818378,36.163637,156,0.3,1420,1,
1446062775,-86.7818123,36.1636645,156,0.5,1430,1,
1446062780,-86.7817746,36.163698,155,0,1440,1,H: it's near the christian science reading room so is that down and over/A: we came up the block and then we cut across before we were supposed to instead of making a loop around the block so now we gotta go back/H: * yea/H: to to get to just another spot/H: christina science reading room so back that way/A: hmhm/H: oh no oh yeah it's right there/A: yea/A: this picture I really don't understand/J: are they holding a white baby?/A: oh wait that must be the mom never mind.. I'm just wondering where they got the baby/J: we're making a statement about how they all got along by stealing a baby (laughing)
1446062790,-86.781727,36.1637067,155,0,1445,1,
1446062795,-86.781727,36.1637067,155,0,1450,1,
1446062800,-86.781727,36.1637067,156,0,1455,1,
1446062805,-86.781727,36.1637067,156,0,1460,1,
1446062810,-86.781727,36.1637067,156,0,1465,1,
1446062815,-86.781727,36.1637067,156,0,1470,1,
1446062820,-86.7816443,36.1636184,156,1.3,1475,1,
1446062825,-86.7815593,36.1634964,156,0.7,1480,1,
1446062830,-86.7815744,36.1634276,157,1.3,1485,1,
1446062835,-86.7815795,36.1633563,158,1.2,1490,1,
1446062840,-86.7816114,36.1632981,158,1.1,1495,1,
1446062845,-86.7816168,36.1632396,159,1,1500,1,A: just putting a baby in the scene/A: there's the reading room/A: do we know anything about it/H: unfortunately all there is there there was supposed to be a comment but it's just the picture/J: hey but at least we are in the right place/A: now we can keep going/J: keep on keepin on change is gonna come
1446062850,-86.7815949,36.1631844,158,0.9,1505,1,
1446062855,-86.7815408,36.1631155,159,0.8,1510,1,
1446062860,-86.7814495,36.163043,159,2.2,1515,1,
1446062865,-86.7813867,36.1630139,158,0.5,1520,1,
1446062870,-86.7814272,36.162973,157,1.2,1525,1,
1446062875,-86.7814875,36.1629992,158,0.4,1530,1,
1446062880,-86.7815398,36.1629578,158,0.4,1535,0,
1446062885,-86.7815888,36.1629309,160,0.7,1540,1,
1446062890,-86.7816105,36.1629009,159,0.9,1545,1,
1446062895,-86.78161,36.1628752,159,1,1550,1,
1446062900,-86.7815245,36.1628731,161,1.6,1555,1,
