time,longitude,latitude,altitude_1,speed_1
1441137930,-86.8172742,36.1681882,137,0.9
1441137935,-86.8172117,36.1682004,137,1.1
1441137940,-86.8171489,36.1682096,137,1
1441137945,-86.817113,36.1682235,136,0
1441137950,-86.81709,36.1682368,136,0.8
1441137955,-86.8170518,36.1682521,137,1.2
1441137960,-86.8170058,36.168264,138,0.7
1441137965,-86.8169609,36.1682805,137,0.7
1441137970,-86.8169094,36.1683005,138,0.8
1441137975,-86.8168649,36.1683095,138,0.7
1441137980,-86.8168412,36.1683196,137,0.8
1441137985,-86.8168054,36.1683313,137,1.3
1441137990,-86.8167446,36.1683154,138,1.1
1441137995,-86.8166786,36.1682954,139,0.9
1441138000,-86.8166299,36.1682915,139,0.9
1441138005,-86.8165854,36.1682954,140,0.9
1441138010,-86.8165405,36.1683048,139,1.1
1441138015,-86.8164779,36.1683208,140,1.1
1441138020,-86.8164393,36.1683343,140,0.8
1441138025,-86.8163954,36.1683431,140,0.8
1441138030,-86.8163614,36.1683496,141,0.8
1441138035,-86.8163093,36.1683616,141,0.8
1441138040,-86.8162627,36.1683676,141,0.9
1441138045,-86.8162132,36.1683699,140,0.9
1441138050,-86.8161396,36.1683861,139,1.3
1441138055,-86.8160732,36.1684149,139,1.1
1441138060,-86.8160103,36.1684286,139,0.9
1441138065,-86.8159823,36.168431,139,0
1441138070,-86.8159542,36.1684184,139,1.7
1441138075,-86.8159294,36.1684221,140,0.3
1441138080,-86.81586,36.1684278,139,1.4
1441138085,-86.8157843,36.168424,140,0.8
1441138090,-86.8157844,36.1684273,139,0.3
1441138095,-86.8157906,36.1684137,139,0.2
1441138100,-86.8157928,36.1684082,139,0.4
1441138105,-86.8157874,36.1684378,139,0.2
1441138110,-86.8157713,36.1684521,138,0.5
1441138115,-86.8157713,36.1684521,138,0
1441138120,-86.8157596,36.1684548,138,0.2
1441138125,-86.8157624,36.1684467,138,0
1441138130,-86.8157659,36.1684392,138,0
1441138135,-86.8157659,36.1684392,138,0
1441138140,-86.8157659,36.1684392,138,0
1441138145,-86.8157772,36.1684258,138,0.2
1441138150,-86.8157772,36.1684258,138,0
1441138155,-86.8157772,36.1684258,138,0
1441138160,-86.8157691,36.168434,138,0
1441138165,-86.815768,36.1684375,139,0.2
1441138170,-86.815768,36.1684325,140,0
1441138175,-86.8157645,36.1684466,140,0.3
1441138180,-86.8157645,36.1684466,140,0
1441138185,-86.8157693,36.1684482,141,0.4
1441138190,-86.815764,36.168431,142,0
1441138195,-86.8157713,36.1684461,141,0
1441138200,-86.8157535,36.1684219,141,0.2
1441138205,-86.815751,36.1684228,141,0
1441138210,-86.8157494,36.1684046,142,0
1441138215,-86.8157501,36.1684077,141,0.2
1441138220,-86.8157501,36.1684077,140,0
1441138225,-86.8157497,36.1684172,141,0.7
1441138230,-86.8157443,36.1684204,141,0.8
1441138235,-86.8156887,36.1684332,140,0.4
1441138240,-86.815645,36.1684354,140,0.7
1441138245,-86.8156092,36.1684432,139,0.8
1441138250,-86.8155819,36.1684504,139,0.7
1441138255,-86.8155328,36.1684655,140,1
1441138260,-86.8154869,36.168489,140,0.7
1441138265,-86.8154669,36.1684938,140,0
1441138270,-86.8154595,36.1684963,142,0
1441138275,-86.8154093,36.1685095,142,0.8
1441138280,-86.8153786,36.1684987,142,0.6
1441138285,-86.8153215,36.1685012,142,0.7
1441138290,-86.8152905,36.1685128,142,0.4
1441138295,-86.8152757,36.1684985,140,0.5
1441138300,-86.815246,36.1684983,140,0.7
1441138305,-86.8152162,36.168466,141,0.5
1441138310,-86.815181,36.1684574,142,0.6
1441138315,-86.8151883,36.1684869,142,0.5
1441138320,-86.8151918,36.168511,142,0
1441138325,-86.8151845,36.1685432,142,0.2
1441138330,-86.8151845,36.1685432,141,0
1441138335,-86.8151887,36.1685432,142,0.8
1441138340,-86.8151965,36.1685436,141,0
1441138345,-86.8151935,36.1685475,141,0.2
1441138350,-86.8151935,36.1685475,142,0
1441138355,-86.8151935,36.1685475,143,0
1441138360,-86.8151935,36.1685475,143,0
1441138365,-86.8151935,36.1685475,143,0
1441138370,-86.8151935,36.1685475,143,0
1441138375,-86.815185,36.1685472,142,0
1441138380,-86.8151901,36.1685525,142,0.2
1441138385,-86.8151962,36.1685865,139,0
1441138390,-86.8151915,36.1685286,140,0
1441138395,-86.8151718,36.1685052,139,0.5
1441138400,-86.8151837,36.1685158,137,0
1441138405,-86.8152242,36.1685175,137,0
1441138410,-86.8152299,36.1685005,137,0.6
1441138415,-86.8152169,36.1684874,136,0.2
1441138420,-86.8152081,36.1684887,136,0.4
1441138425,-86.815195,36.1684767,136,0.3
1441138430,-86.8151374,36.1684724,136,0.9
1441138435,-86.8150991,36.1684808,137,0.7
1441138440,-86.8150697,36.1684871,137,1
1441138445,-86.8150107,36.1685018,138,1
1441138450,-86.8149344,36.1685268,137,1
1441138455,-86.8148483,36.1685581,137,1.3
1441138460,-86.8147764,36.1685705,137,0.7
1441138465,-86.8147199,36.1685526,137,0.9
1441138475,-86.8147231,36.1685476,137,0.7
1441138480,-86.8146923,36.1685281,137,1
